Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
India,Sanchor,194,Unhealthy,0,Good,28,Good,0,Good,194,Unhealthy
China,Sanhsia,87,Moderate,1,Good,72,Moderate,2,Good,87,Moderate
Brazil,Santa Helena,15,Good,0,Good,14,Good,0,Good,15,Good
Portugal,Santo Tirso,27,Good,1,Good,27,Good,3,Good,20,Good
Brazil,Sao Goncalo,232,Very Unhealthy,9,Good,12,Good,28,Good,232,Very Unhealthy
India,Rudarpur,119,Unhealthy For Sensitive Groups,3,Good,78,Moderate,2,Good,119,Unhealthy For Sensitive Groups
Pakistan,Sahiwal,163,Unhealthy,3,Good,163,Unhealthy,1,Good,156,Unhealthy
United States Of America,Saint Louis,57,Moderate,2,Good,28,Good,12,Good,57,Moderate
France,Saint Omer,39,Good,1,Good,39,Good,1,Good,35,Good
France,Sainte Maxime,42,Good,1,Good,42,Good,2,Good,31,Good
Indonesia,Salatiga,83,Moderate,2,Good,49,Good,1,Good,83,Moderate
Belarus,Salihorsk,34,Good,1,Good,34,Good,0,Good,23,Good
Italy,Salsomaggiore Terme,59,Moderate,1,Good,40,Good,1,Good,59,Moderate
India,Samba,155,Unhealthy,3,Good,125,Unhealthy For Sensitive Groups,0,Good,155,Unhealthy
Botswana,Ramotswa,69,Moderate,2,Good,15,Good,1,Good,69,Moderate
India,Rapar,170,Unhealthy,0,Good,28,Good,0,Good,170,Unhealthy
Iran (Islamic Republic Of),Rasht,58,Moderate,1,Good,45,Good,0,Good,58,Moderate
Germany,Ratingen,58,Moderate,1,Good,30,Good,6,Good,58,Moderate
India,Razam,154,Unhealthy,3,Good,92,Moderate,1,Good,154,Unhealthy
Switzerland,Regensdorf,54,Moderate,1,Good,36,Good,1,Good,54,Moderate
Germany,Regenstauf,56,Moderate,1,Good,38,Good,2,Good,56,Moderate
Canada,Regina,42,Good,1,Good,33,Good,1,Good,42,Good
Germany,Remagen,61,Moderate,1,Good,31,Good,4,Good,61,Moderate
Brazil,Resende,62,Moderate,1,Good,8,Good,4,Good,62,Moderate
United States Of America,Richmond West,63,Moderate,1,Good,19,Good,10,Good,63,Moderate
United States Of America,Ridgeland,67,Moderate,3,Good,6,Good,13,Good,67,Moderate
Germany,Rinteln,68,Moderate,1,Good,38,Good,5,Good,68,Moderate
Argentina,Rio Cuarto,21,Good,0,Good,15,Good,1,Good,21,Good
United States Of America,Rocky Mount,39,Good,1,Good,33,Good,5,Good,39,Good
United States Of America,Rocky River,90,Moderate,2,Good,11,Good,24,Good,90,Moderate
Netherlands,Roermond,60,Moderate,1,Good,25,Good,7,Good,60,Moderate
Romania,Roman,51,Moderate,1,Good,39,Good,0,Good,51,Moderate
United States Of America,Rossville,39,Good,1,Good,31,Good,8,Good,39,Good
Germany,Roth,59,Moderate,1,Good,37,Good,2,Good,59,Moderate
Russian Federation,Roza,34,Good,1,Good,34,Good,0,Good,19,Good
United Republic Of Tanzania,Rujewa,20,Good,0,Good,20,Good,0,Good,16,Good
Germany,Sassenberg,68,Moderate,2,Good,23,Good,11,Good,68,Moderate
India,Sattenapalle,77,Moderate,1,Good,49,Good,0,Good,77,Moderate
Saudi Arabia,Sayhat,168,Unhealthy,1,Good,121,Unhealthy For Sensitive Groups,0,Good,168,Unhealthy
Germany,Schmallenberg,75,Moderate,1,Good,36,Good,4,Good,75,Moderate
Russian Federation,Segezha,30,Good,1,Good,30,Good,0,Good,22,Good
Russian Federation,Selyatino,43,Good,1,Good,27,Good,2,Good,43,Good
India,Semaria,158,Unhealthy,3,Good,148,Unhealthy For Sensitive Groups,0,Good,158,Unhealthy
Slovakia,Senec,82,Moderate,1,Good,35,Good,2,Good,82,Moderate
Indonesia,Sepatan,205,Very Unhealthy,5,Good,205,Very Unhealthy,4,Good,163,Unhealthy
France,Septemes Les Vallons,31,Good,1,Good,31,Good,5,Good,31,Good
Russian Federation,Serdobsk,55,Moderate,1,Good,35,Good,0,Good,55,Moderate
United States Of America,Severna Park,36,Good,1,Good,33,Good,7,Good,36,Good
Italy,Sarno,54,Moderate,1,Good,47,Good,3,Good,54,Moderate
Kazakhstan,Saryagash,90,Moderate,1,Good,63,Moderate,1,Good,90,Moderate
India,Sasvad,76,Moderate,0,Good,23,Good,0,Good,76,Moderate
Romania,Satu Mare,71,Moderate,1,Good,38,Good,0,Good,71,Moderate
India,Sausar,175,Unhealthy,1,Good,35,Good,0,Good,175,Unhealthy
France,Savigny Le Temple,69,Moderate,1,Good,20,Good,5,Good,69,Moderate
